ID,IMMAGINE,DOMANDA,RISPOSTA 1,RISPOSTA 1 V/F,RISPOSTA 2,RISPOSTA 2 V/F,PROGRESSIVO,CAPITOLO,TEMA,VOCE
137,,Il polipropilene è utilizzato solo per sagole galleggianti utilizzate per il salvataggio.,VERO,V,FALSO,F,2.2.1-38,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
138,,I grilli assumono la funzione di ridurre o sforzo di trazione sui cavi.,VERO,F,FALSO,V,2.2.1-39,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
139,,Il carrello di randa (o trasto) è il congegno sul quale vengono date volta e bloccate le scotte della randa.,VERO,F,FALSO,V,2.2.1-40,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
140,,La galloccia è il dispositivo con cui si fissano le draglie.,VERO,F,FALSO,V,2.2.1-41,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
141,,La landa è il cavallotto o la piastra collocata in coperta utilizzata per fissare le sartie e gli stralli.,VERO,V,FALSO,F,2.2.1-42,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
142,,Il golfare è il carrello del boma dove si innesta la randa.,VERO,F,FALSO,V,2.2.1-43,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
143,,La varea del tangone è l'anello di attacco del mantiglio.,VERO,F,FALSO,V,2.2.1-44,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
144,,La trozza è lo snodo che unisce il boma all'albero.,VERO,V,FALSO,F,2.2.1-45,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
145,,"La resistenza alla trazione rappresenta una qualità importante nelle fibre del tessuto di una vela, determinandone la stabilità trasversale.",VERO,V,FALSO,F,2.2.1-46,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
146,,Il dacron non è un materiale correntemente diffuso per la realizzazione di vele da crociera.,VERO,F,FALSO,V,2.2.1-47,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
147,,L'esposizione molto prolungata delle vele ai raggi solari ne determina il decadimento delle sue caratteristiche meccaniche di resistenza.,VERO,V,FALSO,F,2.2.1-48,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
148,,"Il set di vele standard di un catamarano è formato da  randa, fiocco e gennaker.",VERO,V,FALSO,F,2.2.1-49,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
149,,Il set di vele base di uno scafo armato a sloop è formato da randa e genoa (o genova).,VERO,V,FALSO,F,2.2.1-50,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
150,,I garrocci sono gli specifici moschettoni che consentono di fissare il lato prodiero del genoa e del fiocco  allo strallo di prua.,VERO,V,FALSO,F,2.2.1-51,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
151,,La funzione del paterazzo è di regolare il vang.,VERO,F,FALSO,V,2.2.1-52,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
152,,Cazzando il paterazzo si determina un rilevante smagrimento della parte centrale della randa.,VERO,V,FALSO,F,2.2.1-53,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
153,,La gassa d'amante è un nodo che tende a sciogliersi facilmente.,VERO,F,FALSO,V,2.2.1-54,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
154,,La gassa d'amante si usa per accorciare una cima.,VERO,F,FALSO,V,2.2.1-55,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
155,,E' opportuno utilizzare il nodo piano per unire due cavi aventi diverso diametro.,VERO,F,FALSO,V,2.2.1-56,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
156,,La funzione di un nodo savoia è impedire che l'estremità di un cavo si sfili da un passacavo.,VERO,V,FALSO,F,2.2.1-57,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
157,,Il nodo parlato è utile per fissare i parabordi alle draglie.,VERO,V,FALSO,F,2.2.1-58,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
158,,Il nodo margherita si usa per accorciare una cima.,VERO,V,FALSO,F,2.2.1-59,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
159,,Per lazy jack si intende una particolare drizza utilizzata per issare le vele in condizioni di emergenza.,VERO,F,FALSO,V,2.2.1-60,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
160,,Per lazy jack si intende il sistema di sagole che aiuta a raccogliere la randa in fase di ammainata.,VERO,V,FALSO,F,2.2.1-61,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
161,,Il feeder è il dispositivo utilizzato al fine di facilitare l'introduzione dell'inferitura del fiocco o del genoa all'interno della canaletta dello strallo cavo.,VERO,V,FALSO,F,2.2.1-62,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
162,,Il tesabase è il dispositivo finalizzato a mantenere tesata la base del fiocco.,VERO,F,FALSO,V,2.2.1-63,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
163,,"Le manovre necessarie all'uso dello spinnaker sono scotta, spring, vang, borosa e  meolo del tangone.",VERO,F,FALSO,V,2.2.1-64,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
164,,"Per braccio si intende il cavo utilizzato per manovrare e, quindi, regolare la mura dello spinnaker.",VERO,V,FALSO,F,2.2.1-65,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
165,,Il matafione è un fiocco di rispetto utilizzato in condizioni meteo marine avverse.,VERO,F,FALSO,V,2.2.1-66,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
166,,"Per impiombatura si intende l'intreccio dei trefoli delle estremità di cavi tessili o in acciaio, al fine di unirli tra di loro o per realizzare un anello fisso a cui agganciare le ferramenta o le manovre.",VERO,V,FALSO,F,2.2.1-67,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
167,,Per borosa si intende la parte terminale superiore dello strallo cavo che lo collega all'albero.,VERO,F,FALSO,V,2.2.1-68,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
168,,"Le sartie, sono i cavi generalmente in acciaio (ma anche in fibre tessili particolarmente tenaci), che sostengono l'albero.",VERO,V,FALSO,F,2.2.1-69,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
169,,Il tornichetto è un congegno utilizzato per unire due cime di diverso materiale.,VERO,F,FALSO,V,2.2.1-70,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
170,,Il vang è un sistema di ritenuta del boma di tipo regolabile che assolve a due funzioni principali: regola la flessione longitudinale dell'albero e influenza la superficie portante della vela.,VERO,V,FALSO,F,2.2.1-71,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
171,,All'interno dell'albero si possono far passare le manovre fisse come sartie e stralli.,VERO,F,FALSO,V,2.2.1-72,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
172,,L'avvolgiranda è un'attrezzatura che permette di riporre la randa in un gavone una volta terminata la navigazione.,VERO,F,FALSO,V,2.2.1-73,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
173,,La regolazione dell'albero viene effettuata con l'unità all'ormeggio agendo su ogni singola manovra corrente in stretta aderenza a quanto indicato dal costruttore.,VERO,F,FALSO,V,2.2.1-74,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
174,,"Le manovre correnti sono quelle che servono a manovrare le vele, come le scotte, drizze, wang, tesa base ecc.",VERO,V,FALSO,F,2.2.1-75,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
175,,Un winch self-tailing è un verricello elettronico comandato dalla timoneria per il quale non è necessario l'uso della maniglia.,VERO,F,FALSO,V,2.2.1-76,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
176,,Stralli e sartie sono manovre fisse.,VERO,V,FALSO,F,2.2.1-77,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
177,,Girando la maniglia in senso orario il winch sostiene una migliore trazione e potenza.,VERO,V,FALSO,F,2.2.1-78,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
178,,Il motivo per cui il grillo della penna di randa è del tipo con perno di blocco è per consentire di sganciare la vela evitando che lo stesso cada in mare.,VERO,V,FALSO,F,2.2.1-79,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
179,,La calza è una sorta di tubo di tela con il quale si raccoglie lo spinnaker o il gennaker prima di ammainarlo.,VERO,V,FALSO,F,2.2.1-80,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
180,,Con il fiocco autovirante è necessario cazzare la scotta in virata.,VERO,F,FALSO,V,2.2.1-81,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
181,,Con il fiocco autovirante la scotta è generalmente rinviata a una puleggia sull'albero.,VERO,V,FALSO,F,2.2.1-82,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
182,,Con il genoa avvolgibile ridotto oltre il 30% della superficie si ha una sensibile riduzione di efficienza del profilo.,VERO,V,FALSO,F,2.2.1-83,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
183,,L'avvolgifiocco e il moderno sistema che consente di ridurre la vela di prua senza ammainarla.,VERO,V,FALSO,F,2.2.1-84,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
184,,Lo stopper è la manovra con cui si fissa il boma in posizione di riposo.,VERO,F,FALSO,V,2.2.1-85,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
185,,Lo stopper è il sistema di bloccaggio che consente di strozzare una drizza.,VERO,V,FALSO,F,2.2.1-86,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
186,,"Per ""sventare"" si intende la manovra tesa a condurre l'unità navale con la prua al vento o a mollare le scotte, in modo che le vele non siano portanti",VERO,V,FALSO,F,2.3.1-1,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
187,,"Per ""sventare"" si intende la manovra tesa a condurre l'unità navale con la poppa al vento.",VERO,F,FALSO,V,2.3.1-2,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
188,,Con timone a barra per poggiare è necessario porre la barra del timone sopravento ossia dalla parte opposta rispetto alla randa.,VERO,V,FALSO,F,2.3.1-3,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
189,,Con timone a barra per poggiare è necessario porre la barra del timone sottovento ossia dallo stesso lato della randa.,VERO,F,FALSO,V,2.3.1-4,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
190,,"Quando due unità navali a vela navigano di bolina con rotte convergenti, quella con le mure a sinistra poggierà per lasciare la rotta libera a quella con le mure a dritta, passandole di poppa.",VERO,V,FALSO,F,2.3.1-5,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
191,,"Quando due unità navali a vela navigano di bolina con rotte convergenti, quella più lenta lascierà la rotta libera a quella più veloce, passandole di poppa.",VERO,F,FALSO,V,2.3.1-6,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
192,,"Quando due unità navali a vela navigano di bolina entrambe con le stesse mure, quella sopravento orzerà per lasciare la rotta libera a quella sottovento.",VERO,V,FALSO,F,2.3.1-7,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
193,,"Dopo aver tesato la drizza della randa, la base della stessa può essere cazzata, poco o molto, a seconda che si vogliano assumere rispettivamente andature larghe o di bolina.",VERO,V,FALSO,F,2.3.1-8,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
194,,L'abbattuta è la manovra mediante la quale l'unità a vela cambia mure attraversando con la poppa la direzione da cui proviene il vento.,VERO,V,FALSO,F,2.3.1-9,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
195,,La virata è  la manovra per evitare un ostacolo.,VERO,F,FALSO,V,2.3.1-10,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
196,,La virata è la manovra usata per raggiungere una meta navigando con il vento in fil di ruota.,VERO,F,FALSO,V,2.3.1-11,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
197,,L'abbattuta si esegue quando la barca è alla massima velocità e naviga con andatura al traverso o di bolina.,VERO,F,FALSO,V,2.3.1-12,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
198,,"Per armare la randa: si collega la borosa all'angolo di mura, si tesa la base e si chiude lo stopper della scotta.",VERO,F,FALSO,V,2.3.1-13,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
199,,Il punto di mura è posizionato sulla varea del boma.,VERO,F,FALSO,V,2.3.1-14,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
200,,"Si arma la randa cazzando il meolo, inserendo la tavoletta all'interno dell'apposita tasca posta sulla parte più alta dell'albero.",VERO,F,FALSO,V,2.3.1-15,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
201,,"Dopo aver lascato la drizza della randa, la base della stessa può essere lascata, poco o molto, a seconda che si vogliano assumere andature in bolina o bolina larga.",VERO,F,FALSO,V,2.3.1-16,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
202,,"Genoa (o genova) e fiocco si armano allo stesso modo perché  hanno, in generale, lo stesso punto di mura nonché risultano inferiti al medesimo strallo.",VERO,V,FALSO,F,2.3.1-17,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
203,,La prima operazione necessaria per issare il fiocco o il genoa (o genova) munito di garocci è fissare l'occhiello di bugna nell'apposito attacco ubicato alla base dello strallo.,VERO,F,FALSO,V,2.3.1-18,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
204,,I garrocci di cui è munito il fiocco vanno incocciati allo strallo partendo dal punto di penna e proseguendo verso il punto di scotta.,VERO,F,FALSO,V,2.3.1-19,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
205,,Il dispositivo solitamente utilizzato per agganciare la drizza alla penna è un moschettone impiombato alla drizza stessa.,VERO,V,FALSO,F,2.3.1-20,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
206,,"Il nodo utilizzato solitamente per fissare le due scotte alla bugna del fiocco, una per lato, è il parlato doppio.",VERO,F,FALSO,V,2.3.1-21,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
207,,La barca viene condotta con la prua al vento al fine di consentire che il fiocco non si gonfi mentre viene issato.,VERO,V,FALSO,F,2.3.1-22,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
208,,Lo strallo cavo offre il vantaggio di abbassare il centro velico del fiocco.,VERO,F,FALSO,V,2.3.1-23,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
209,,La doppia canaletta di uno strallo cavo serve per facilitare la sostituzione di una vela di prua.,VERO,V,FALSO,F,2.3.1-24,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
210,,Issare la tormentina è la manovra che può essere adottata al fine di ridurre la velocità risalendo il vento,VERO,F,FALSO,V,2.3.1-25,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
211,,La manovra che può essere adottata al fine di ridurre la velocità nelle andature portanti è far fileggiare la randa.,VERO,F,FALSO,V,2.3.1-26,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
212,,"La manovra denominata ""mettersi in panna"" serve per aumentare la velocità.",VERO,F,FALSO,V,2.3.1-27,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
213,,"La manovra denominata ""mettersi in panna"" consiste nel porre a collo la vela di prua lasciando la randa bordata per la bolina larga nonché ponendo il timone all'orza.",VERO,V,FALSO,F,2.3.1-28,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
214,,"La manovra denominata ""mettersi alla cappa"" consiste in una particolare tecnica che consente di navigare a velocità ridotta utilizzando l'ancora galleggiante filata di poppa.",VERO,F,FALSO,V,2.3.1-29,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
215,,"Per ""mano o presa di terzaroli"" si intende la manovra per abbassare il tangone e smagrire lo spinnaker, passando dall'andatura in fil di ruota al traverso.",VERO,F,FALSO,V,2.3.1-30,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
216,,"La ""presa di terzaroli"" consiste nell'ammainare completamente la randa ed issare al suo posto la randa di rispetto denominata matafione.",VERO,F,FALSO,V,2.3.1-31,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
217,,"Per ""mettere a segno"" le vele si intende l'avvolgerle correttamente dopo l'utilizzo in navigazione per il loro successivo pronto impiego.",VERO,F,FALSO,V,2.3.1-32,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
218,,Il vantaggio della planata è l'aumento del dislocamento dell'unità.,VERO,F,FALSO,V,2.3.1-33,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
219,,Quando la barca si dispone con la prua al vento le vele smagriscono disponendosi trasversalmente all'asse longitudinale dell'unità e orientandosi nella direzione di provenienza del vento apparente.,VERO,F,FALSO,V,2.3.1-34,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
220,,"La manovra denominata ""strallare"" consiste nel ruotare il tangone verso la parte prodiera dell'unità navale conducendone l'estremità libera in prossimità dello strallo.",VERO,V,FALSO,F,2.3.1-35,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
221,,"La manovra denominata ""quadrare"" consiste nel ruotare il tangone verso la parte prodiera dell'unità navale conducendone l'estremità libera in prossimità dello strallo.",VERO,F,FALSO,V,2.3.1-36,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
222,,"Per poggiare si intende variare la prua dell'unità, allontanando la prua della stessa rispetto alla direzione di provenienza del vento.",VERO,V,FALSO,F,2.3.1-37,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
223,,Per orzare si intende variare la rotta dell'unità navale assumendo un nuovo valore di rotta opposto a quello della direzione di provenienza del vento.,VERO,F,FALSO,V,2.3.1-38,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
224,,Per sventare si intende la manovra tesa a condurre l'unità navale con la poppa al vento.,VERO,F,FALSO,V,2.3.1-39,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
225,,La virata e l'abbattuta sono le manovre fondamentali per cambiare mure.,VERO,V,FALSO,F,2.3.1-40,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
226,,La virata è la  manovra mediante la quale l'unità  a vela si appresta ad ammainare lo spinnaker.,VERO,F,FALSO,V,2.3.1-41,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
227,,Per poggiare è necessario porre la barra al centro,VERO,F,FALSO,V,2.3.1-42,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
228,,"Quando due unità a vela navigano di bolina con rotte convergenti, quella più lenta lascerà la rotta libera a quella più veloce, passandole di poppa.",VERO,F,FALSO,V,2.3.1-43,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
229,,"Se due unità a vela navigano entrambe con stesse mura, ha la precedenza quella che si trova sottovento.",VERO,V,FALSO,F,2.3.1-44,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
230,,"Se due unità a vela navigano di bolina con rotte convergenti, quella con mure a sinistra ha la precedenza.",VERO,F,FALSO,V,2.3.1-45,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
231,,"Se due unità navigano a vela con mure diverse (una a sinistra e l'altra a dritta), ha la precedenza chi prende il vento a sinistra.",VERO,F,FALSO,V,2.3.1-46,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
232,,"Se due unità navigano a vela  con mure diverse (una a sinistra e l'altra a dritta), ha la precedenza chi prende il vento a dritta.",VERO,V,FALSO,F,2.3.1-47,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
233,,"Se due unità navigano a vela su rotte opposte, quella che ha il vento sulla sinistra deve lasciare libera la rotta all'altra.",VERO,V,FALSO,F,2.3.1-48,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
234,,"Se un'unità con il vento sulla sinistra vede un'altra unità a vela sopravento e non può stabilire con sicurezza se questa abbia il vento  sulla  sinistra o sulla dritta, deve  manovrare in modo da lasciare libera la rotta .",VERO,V,FALSO,F,2.3.1-49,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
235,,"Navigando di bolina stretta, si può ridurre temporaneamente la velocità stingendo il vento oltre l'angolo di bordeggio.",VERO,V,FALSO,F,2.3.1-50,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
236,,Poggiando da bolina stretta a bolina larga la barca accelera.,VERO,V,FALSO,F,2.3.1-51,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
237,,"Per ridurre lo sbandamento, si smagriscono le vele, cazzando il cunnincham e il tesabase della randa, la drizza del genoa e si arretra il punto di scotta del genoa (o genova).",VERO,V,FALSO,F,2.3.1-52,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
238,,"Per aumentare la potenza con vento debole si smagriscono le vele, cazzando il cunnincham e il tesabase della randa, la drizza del genoa e si arretra il punto di scotta del genoa (o genova).",VERO,F,FALSO,V,2.3.1-53,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
239,,"La ""messa a segno"" delle vele si ottiene quando le vele sono completamente poste a riva.",VERO,F,FALSO,V,2.3.1-54,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
240,,"Per ridurre lo sbandamento sotto raffica si muove il carrello (trasto) della randa sottovento o, in assenza del carrello, si lasca la scotta.",VERO,V,FALSO,F,2.3.1-55,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
241,,Per assecondare una rapida poggiata per evitare un ostacolo devo lascare solo il fiocco.,VERO,F,FALSO,V,2.3.1-56,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
242,,La ritenuta del boma è quella manovra che si può utilizzare per evitare la strambata nelle andature di granlasco e giardinetto.,VERO,V,FALSO,F,2.3.1-57,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
243,,"In caso di aumento del vento, riducendo la randa si diminuisce la tendenza orziera dell'unità.",VERO,V,FALSO,F,2.3.1-58,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
244,,Quando si comincia a pensare se sia il caso di ridurre la vela a causa dell'eccessivo sbandamento è probabilmente il momento di farlo.,VERO,V,FALSO,F,2.3.1-59,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
245,,E' certamente opportuno ridurre la vela se la barca ha stabilmente la falchetta in acqua.,VERO,V,FALSO,F,2.3.1-60,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
246,,La strambata è il rischio più grande che si corre navigando al gran lasco o in poppa (giardinetto).,VERO,V,FALSO,F,2.3.1-61,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
247,,Strambata e abbattuta  sono la stessa cosa.,VERO,F,FALSO,V,2.3.1-62,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
248,,La strambata è l'abbattuta involontaria e incontrollata.,VERO,V,FALSO,F,2.3.1-63,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
249,,"Salvo le ordinanze locali, di norma è possibile entrare in un porto navigando a vela.",VERO,F,FALSO,V,2.3.1-64,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
250,,Lascare la randa agevola la poggiata.,VERO,V,FALSO,F,2.3.1-65,VELA,MANOVRE,MANOVRE DELLE UNITA' A VELA
